,damagearea,endday,endmonth,endtime,endyear,firecause,locbunji,locdong,locgungu,locmenu,locsi,startday,startdayofweek,startmonth,starttime,startyear
2859,0.3,30,04,22:50:00,2020,입산자실화,산13-1,용부원,단양,대강,충북,30,목요일,04,18:38:00,2020
2860,0.02,30,04,19:25:00,2020,기타,산41,위성,군위,소보,경북,30,목요일,04,18:20:00,2020
2861,0.01,30,04,20:00:00,2020,입산자실화,산26-1,판대,원주,지정,강원,30,목요일,04,18:05:00,2020
2862,0.4,30,04,19:20:00,2020,건축물화재비화,산162-15,화악,가평,북,경기,30,목요일,04,17:16:00,2020
2863,0.08,30,04,18:00:00,2020,기타,산5-9,내각,남양주,진접,경기,30,목요일,04,15:50:00,2020
2864,0.1,30,04,17:48:00,2020,입산자실화,산91,매곡,안동,풍산,경북,30,목요일,04,15:47:00,2020
2865,0.12,30,04,18:10:00,2020,입산자실화,산11,내,포천,내촌,경기,30,목요일,04,14:39:00,2020
2866,0.01,30,04,13:20:00,2020,입산자실화,산26,고림,용인,처인,경기,30,목요일,04,12:35:00,2020
2867,0.2,30,04,17:00:00,2020,입산자실화,산132-1,여론,홍천,서석,강원,30,목요일,04,12:27:00,2020
2868,0.06,30,04,10:00:00,2020,입산자실화,산20,여래,김해,진영,경남,30,목요일,04,05:00:00,2020
2869,0.2,29,04,17:50:00,2020,건축물화재비화,산124-9,지현,포천,화현,경기,29,수요일,04,15:26:00,2020
2870,0.05,29,04,14:00:00,2020,담뱃불실화,산1-1,공세,용인,기흥,경기,29,수요일,04,11:54:00,2020
2871,0.01,29,04,11:50:00,2020,담뱃불실화,640-4,요당,화성,양감,경기,29,수요일,04,11:05:00,2020
2872,0.03,29,04,01:32:00,2020,담뱃불실화,산59-2,연수,연수,인천,28,화요일,04,23:57:00,2020,
2873,0.01,28,04,18:53:00,2020,입산자실화,산223-2,대명,대구,28,화요일,04,18:46:00,2020,,
2874,0.05,28,04,16:00:00,2020,담뱃불실화,산18,총곡,이천,율곡,경기,28,화요일,04,15:04:00,2020
2875,0.3,28,04,17:00:00,2020,농산부산물소각,산3-1,약수,영광,백수,전남,28,화요일,04,13:58:00,2020
2876,0.1,28,04,17:00:00,2020,입산자실화,산13,구미,연천,백학,경기,28,화요일,04,13:32:00,2020
2877,0.02,27,04,19:40:00,2020,기타,산135,적목,가평,북,경기,27,월요일,04,18:47:00,2020
2878,0.1,27,04,15:30:00,2020,기타,산219,황지,연천,군남,경기,27,월요일,04,13:52:00,2020
2879,0.02,27,04,12:40:00,2020,입산자실화,산7,학담,횡성,공근,강원,27,월요일,04,11:28:00,2020
2880,0.1,26,04,17:50:00,2020,기타,산37-2,상서,대덕,대전,26,일요일,04,16:43:00,2020,
2881,0.33,26,04,20:00:00,2020,기타,산11,도마교,군포,경기,26,일요일,04,16:14:00,2020,
2882,0.01,26,04,16:30:00,2020,기타,산6-14,교,여주,경기,26,일요일,04,15:45:00,2020,
